"num_actions","prev_action"
"580","Click on Recargas y Servicios category, VIP option"
"558","Click VIP 100"
"470","Product type VIP"
"329","No determinado"
"304","Click on VIP category, VIP option"
"250","Click Pop Up Home VIP"
"135","Click on vip Tab"
"75","Click notificacion home VIP"
"38","Clicked carousel image (https://tnc.undostres.com.mx/miembrosvip-100/?product_type=vip&utm_source=banner&utm_campaign=vip100_20230817_20230831)"
"22","Click on back arrow, from undefined option"
"19","Clicked carousel image (https://tnc.undostres.com.mx/diavip/?product_type=vip&utm_source=banner&utm_medium=banner_app&utm_campaign=_DiaVIP_Warming_20231025_20231027)"
"14","Click on VIP category, VIP option"
"10","click on Banner from hamburguer menu."
"5","Clicked carousel image (https://tnc.undostres.com.mx/diavip/?utm_source=banner_mobile&utm_medium=banner&utm_campaign=DiaVIP_20230922_20230922)"
"4","Clicked carousel image (https://tnc.undostres.com.mx/diavip/?utm_source=banner_web&utm_medium=banner&utm_campaign=DiaVIP_20230918_20230921)"
"3","Clicked carousel image (undefined)"
"2","Click on back arrow, from VIP option"
"2","Clicked carousel image (https://d203ovh1oelywy.cloudfront.net/images/banner/BannerMobileWeb_DiaVIPwarming_720x350_19102023.png)"
"1","click on Banner VIP from Home."
"1","Clicked carousel image (https://tnc.undostres.com.mx/diavip/?product_type=vip&utm_source=banner&utm_medium=banner_mobile_web&utm_campaign=_DiaVIP_Warming_20231025_20231027)"
