"num_actions","prev_action"
"1251","No determinado"
"789","Click Pop Up Home VIP"
"699","Click on Recargas y Servicios category, VIP option"
"489","Product type VIP"
"385","Click on Vip category, conoce los beneficios option"
"302","Click VIP 100"
"217","Clicked carousel image (https://tnc.undostres.com.mx/miembrosvip-100/?product_type=vip&utm_source=banner_mobile&utm_campaign=vip100_20231002_null)"
"200","Click on vip Tab"
"171","Click on VIP category, VIP option"
"126","Click notificacion home VIP"
"112","click on Banner from hamburguer menu."
"103","Click on back arrow, from undefined option"
"48","Clicked carousel image (https://tnc.undostres.com.mx/diavip/?product_type=vip&utm_source=banner&utm_medium=banner_app&utm_campaign=_DiaVIP_Warming_20240122_20240125)"
"38","Click on VIP category, VIP option"
"28","Click on back arrow, from VIP option"
"19","Clicked carousel image (https://tnc.undostres.com.mx/diavip/?utm_source=banner&utm_medium=banner_mobile&utm_campaign=DiaVIP_20231222_20231222)"
"18","Click on VIP category, VIP option"
"16","click on Banner VIP from Home."
"15","Clicked carousel image (https://tnc.undostres.com.mx/diavip/?utm_source=banner&utm_medium=banner_mobile&utm_campaign=DiaVIP_20240126_20240126)"
"13","Click on Vip category, undefined option"
"4","Clicked carousel image (https://tnc.undostres.com.mx/miembrosvip-100/?product_type=vip&utm_source=banner_web&utm_campaign=vip100_20231002_null)"
"1","Clicked carousel image (undefined)"
